seller_id,avg_delay,total_orders,avg_price,total_revenue,anomaly,anomaly_label
0015a82c2db000af6aaaf3ae2ecb0532,-16.333333333333332,3,895.0,2748.06,1,Normal
001cca7ae9ae17fb1caed9dfb1094831,-13.23728813559322,195,104.47427966101695,47557.950000000004,-1,Anomaly
002100f778ceb8431b7a1020ff7ab48f,-8.491228070175438,50,22.198245614035088,2412.64,1,Normal
003554e2dce176b5555353e4f3555ac8,-27.0,1,120.0,139.38,1,Normal
004c9cd9d87a3c30c522c48c4fc07416,-12.48,156,122.0243,27640.43,1,Normal
00720abe85ba0859807595bbf045a33b,-12.73076923076923,13,38.75,3118.4,1,Normal
00ab3eff1b5192e5f1a63bcecfee11c8,-10.0,1,98.0,110.08,1,Normal
00d8b143d12632bad99c0ad66ad52825,-22.0,1,86.0,137.1,1,Normal
00ee68308b45bc5e2660cd833c3f81cc,-10.793478260869565,135,117.03260869565217,37126.37,1,Normal
00fc707aaaad2d31347cf883cd2dfe10,-15.533333333333333,103,93.96222222222222,25822.96,1,Normal
010543a62bd80aa422851e79a3bc7540,-8.5,2,708.0,1447.95,1,Normal
010da0602d7774602cd1b3f5fb7b709e,-10.0,1,169.9,5398.75,1,Normal
011b0eaba87386a2ae96a7d32bb531d1,-30.0,1,49.99,258.32,1,Normal
01266d4c46afa519678d16a8b683d325,-9.333333333333334,3,30.083333333333332,137.48,1,Normal
013900e863eace745d3ec7614cab5b1a,-15.703703703703704,23,61.65185185185185,2659.19,1,Normal
014c0679dd340a0e338872e7ec85666a,-11.875,14,448.0,8423.67,1,Normal
014d9a685fd57276679edd00e07089e5,-12.583333333333334,11,60.82333333333333,1317.47,1,Normal
0176f73cc1195f367f7b32db1e5b3aa8,-8.717948717948717,37,122.13076923076925,6416.22,1,Normal
01bcc9d254a0143f0ce9791b960b2a47,-19.25,10,135.7325,1644.69,1,Normal
01c97ebb5cdac52891c0ed1c37ba0012,-9.333333333333334,9,48.125,1193.8600000000001,1,Normal
01cf7e3d21494c41fb86034f2e714fa1,-17.555555555555557,59,143.76288888888888,12856.05,1,Normal
01ed254b9ff8407dfb9d99ba1e17d923,-17.0,5,293.198,1533.71,1,Normal
01fd077212124329bac32490e8ef80d9,-11.925,31,31.175,3247.48,1,Normal
01fdefa7697d26ad920e9e0346d4bd1b,-13.835820895522389,128,112.8218656716418,18075.39,1,Normal
0241d4d5d36f10f80c644447315af0bd,-12.98473282442748,238,128.71908396946566,42183.6,-1,Anomaly
0249d282d911d23cb8b869ab49c99f53,-8.363636363636363,11,35.72727272727273,570.03,1,Normal
024b564ae893ce8e9bfa02c10a401ece,-40.5,2,88.30000000000001,4337.6,1,Normal
028872bfa080090a9d0abd4f1af168f8,-15.0,1,23.5,353.61,1,Normal
02b72cdeb9cfcc429f1af6f4e3f3b737,-9.0,4,130.6625,748.64,1,Normal
